06:04.7,1.42163E+12,AAA, ax,-0.87148774, ay,6.4656544, az,7.5604777
06:04.7,1.42163E+12,AAA, ax,-0.8414003, ay,6.5002327, az,7.681875
06:04.8,1.42163E+12,AAA, ax,-0.78406954, ay,6.505921, az,7.6458006
06:04.8,1.42163E+12,AAA, ax,-0.8454419, ay,6.3274918, az,7.723339
06:04.8,1.42163E+12,AAA, ax,-0.7978409, ay,6.3975463, az,7.661368
06:04.8,1.42163E+12,AAA, ax,-0.9690848, ay,6.4208975, az,7.8333607
06:04.8,1.42163E+12,AAA, ax,-0.84080154, ay,6.391259, az,7.6929526
06:04.9,1.42163E+12,AAA, ax,-1.0693762, ay,6.6090565, az,7.7915974
06:04.9,1.42163E+12,AAA, ax,-1.0562036, ay,6.8490076, az,7.8092604
06:04.9,1.42163E+12,AAA, ax,-0.9523196, ay,7.038663, az,7.9598475
06:04.9,1.42163E+12,AAA, ax,-0.9279204, ay,6.7074018, az,7.80941
06:05.0,1.42163E+12,AAA, ax,-0.762664, ay,6.235583, az,7.6606197
06:05.0,1.42163E+12,AAA, ax,-0.685724, ay,6.073021, az,7.900571
06:05.0,1.42163E+12,AAA, ax,-0.50894165, ay,6.076913, az,8.017478
06:05.0,1.42163E+12,AAA, ax,-0.28695327, ay,5.8169036, az,7.7851605
06:05.0,1.42163E+12,AAA, ax,-0.24234603, ay,5.8149576, az,7.4103403
06:05.0,1.42163E+12,AAA, ax,-0.28949797, ay,5.9088125, az,7.435937
06:05.1,1.42163E+12,AAA, ax,-0.37197646, ay,5.75134, az,7.599397
06:05.1,1.42163E+12,AAA, ax,-0.49606842, ay,5.8790245, az,7.522457
06:05.1,1.42163E+12,AAA, ax,-0.4367917, ay,6.23708, az,7.6799297
06:05.1,1.42163E+12,AAA, ax,-0.66821045, ay,6.600225, az,7.7559714
06:05.1,1.42163E+12,AAA, ax,-0.7526349, ay,6.6383953, az,7.6899586
06:05.2,1.42163E+12,AAA, ax,-0.87912184, ay,6.500083, az,7.9105997
06:05.2,1.42163E+12,AAA, ax,-0.82747924, ay,6.48721, az,8.100405
06:05.2,1.42163E+12,AAA, ax,-0.81041473, ay,6.5196924, az,7.928413
06:05.2,1.42163E+12,AAA, ax,-0.65638506, ay,6.4584694, az,7.6025405
06:05.2,1.42163E+12,AAA, ax,-0.8095166, ay,6.4488893, az,7.515272
06:05.3,1.42163E+12,AAA, ax,-0.7475455, ay,6.440357, az,7.7237883
06:05.3,1.42163E+12,AAA, ax,-0.5822891, ay,6.368656, az,7.8040214
06:05.3,1.42163E+12,AAA, ax,-0.59097105, ay,6.2725563, az,7.8305163
