41:15.8,1.42111E+12,GGG,gx,-0.08846568, gy,-0.0852683, gz,0.0948602
41:15.8,1.42111E+12,GGG,gx,-0.099124454, gy,-0.12363885, gz,0.075675055
41:15.8,1.42111E+12,GGG,gx,-0.057556238, gy,-0.0937952, gz,0.09912392
41:15.8,1.42111E+12,GGG,gx,0.018119348, gy,-0.031975776, gz,0.09805759
41:15.9,1.42111E+12,GGG,gx,0.045831405, gy,-0.034107372, gz,0.07780665
41:15.9,1.42111E+12,GGG,gx,0.036238696, gy,-0.036239497, gz,0.052226186
41:15.9,1.42111E+12,GGG,gx,0.024514131, gy,-0.036239497, gz,0.030909447
41:15.9,1.42111E+12,GGG,gx,0.010658237, gy,-0.04796353, gz,0.01705302
41:15.9,1.42111E+12,GGG,gx,0.019185146, gy,-0.046897735, gz,0.011724034
41:16.0,1.42111E+12,GGG,gx,0.023448335, gy,-0.021317273, gz,0.026645726
41:16.0,1.42111E+12,GGG,gx,0.013855628, gy,-0.004263721, gz,0.046897203
41:16.0,1.42111E+12,GGG,gx,0.023448335, gy,-0.007461112, gz,0.022382537
41:16.0,1.42111E+12,GGG,gx,0.008526376, gy,-0.004263721, gz,-0.029844182
41:16.0,1.42111E+12,GGG,gx,-0.01279063, gy,0, gz,-0.05542464
41:16.1,1.42111E+12,GGG,gx,-0.035173167, gy,-0.009593239, gz,-0.017053818
41:16.1,1.42111E+12,GGG,gx,-0.034107372, gy,0.002131594, gz,-0.020251475
41:16.1,1.42111E+12,GGG,gx,-0.026646258, gy,-0.01279063, gz,-0.039436888
41:16.1,1.42111E+12,GGG,gx,-0.033041574, gy,-0.006395315, gz,-0.05222672
41:16.1,1.42111E+12,GGG,gx,-0.040502686, gy,0, gz,-0.024514664
41:16.2,1.42111E+12,GGG,gx,-0.039436888, gy,-0.008526909, gz,-0.015988022
41:16.2,1.42111E+12,GGG,gx,-0.004263721, gy,0.008526376, gz,-0.034107372
41:16.2,1.42111E+12,GGG,gx,0.024514131, gy,0.027712055, gz,-0.033041574
41:16.2,1.42111E+12,GGG,gx,-0.020251475, gy,-0.010659036, gz,0.001065797
41:16.2,1.42111E+12,GGG,gx,-0.06395155, gy,-0.051160924, gz,0.02131674
41:16.3,1.42111E+12,GGG,gx,-0.031975776, gy,-0.045831937, gz,0.011724034
41:16.3,1.42111E+12,GGG,gx,0.01705302, gy,-0.003197924, gz,-0.007461112
41:16.3,1.42111E+12,GGG,gx,0.060753096, gy,0.075675055, gz,-0.008526909
41:16.3,1.42111E+12,GGG,gx,0.058621503, gy,0.06501655, gz,0.015987223
41:16.3,1.42111E+12,GGG,gx,-0.02238307, gy,-0.010659036, gz,0.037304495
41:16.4,1.42111E+12,GGG,gx,-0.06395155, gy,-0.04796353, gz,0.026645726
41:16.4,1.42111E+12,GGG,gx,-0.013856427, gy,-0.021317273, gz,0.010658237
41:16.4,1.42111E+12,GGG,gx,0.03304104, gy,0.019185146, gz,0.00959244
41:16.4,1.42111E+12,GGG,gx,0.007460579, gy,0, gz,0.013855628
41:16.4,1.42111E+12,GGG,gx,-0.05968783, gy,-0.045831937, gz,0.026645726
41:16.5,1.42111E+12,GGG,gx,-0.11298035, gy,-0.12150726, gz,0.031975243
