45:17.6,1.42171E+12,AAA, ax,-0.5993536, ay,4.8533573, az,8.567883
45:17.6,1.42171E+12,AAA, ax,-0.6939569, ay,4.8096485, az,8.414303
45:17.6,1.42171E+12,AAA, ax,-0.5598358, ay,5.052294, az,8.630004
45:17.7,1.42171E+12,AAA, ax,-0.7033873, ay,5.005591, az,8.815618
45:17.7,1.42171E+12,AAA, ax,-0.70144135, ay,4.6913943, az,9.094189
45:17.7,1.42171E+12,AAA, ax,-0.6870712, ay,4.8307543, az,9.062005
45:17.7,1.42171E+12,AAA, ax,-0.70398605, ay,4.9044013, az,8.913215
45:17.7,1.42171E+12,AAA, ax,-0.669857, ay,4.9753537, az,8.921747
45:17.7,1.42171E+12,AAA, ax,-0.76161623, ay,4.9630795, az,8.571625
45:17.8,1.42171E+12,AAA, ax,-0.66132474, ay,4.936884, az,8.693921
45:17.8,1.42171E+12,AAA, ax,-0.6703061, ay,5.024751, az,8.876242
45:17.8,1.42171E+12,AAA, ax,-0.84364563, ay,4.8972163, az,9.087902
45:17.8,1.42171E+12,AAA, ax,-0.637674, ay,4.8837442, az,8.761431
45:17.9,1.42171E+12,AAA, ax,-0.63093793, ay,4.951254, az,8.691227
45:17.9,1.42171E+12,AAA, ax,-0.635728, ay,4.918921, az,8.531359
45:17.9,1.42171E+12,AAA, ax,-0.68692154, ay,5.053042, az,8.630603
45:17.9,1.42171E+12,AAA, ax,-0.7575746, ay,5.1213, az,8.850795
45:18.0,1.42171E+12,AAA, ax,-0.72359526, ay,5.074298, az,8.696166
45:18.0,1.42171E+12,AAA, ax,-0.7541318, ay,5.040468, az,8.683144
45:18.0,1.42171E+12,AAA, ax,-0.7988887, ay,4.9879274, az,8.663834
45:18.0,1.42171E+12,AAA, ax,-0.92687255, ay,4.975803, az,8.821007
45:18.0,1.42171E+12,AAA, ax,-0.9288185, ay,5.1494417, az,8.768765
45:18.0,1.42171E+12,AAA, ax,-1.0542576, ay,5.083279, az,8.609197
45:18.1,1.42171E+12,AAA, ax,-1.0340496, ay,5.134922, az,8.228988
45:18.1,1.42171E+12,AAA, ax,-1.3415103, ay,5.322781, az,5.9761724
45:18.1,1.42171E+12,AAA, ax,-1.6223264, ay,5.7218513, az,7.7754307
45:18.1,1.42171E+12,AAA, ax,-1.0958711, ay,4.6523256, az,9.525442
45:18.1,1.42171E+12,AAA, ax,-1.377286, ay,5.0272956, az,9.043444
45:18.1,1.42171E+12,AAA, ax,-1.4940431, ay,5.507946, az,8.632548
45:18.2,1.42171E+12,AAA, ax,-1.2139755, ay,5.3251762, az,8.733289
45:18.2,1.42171E+12,AAA, ax,-0.8804691, ay,5.2660494, az,8.537646
45:18.2,1.42171E+12,AAA, ax,-1.0581496, ay,5.485044, az,8.255632
