50:17.6,1.42172E+12,AAA, ax,-1.1541001, ay,4.2343946, az,8.919203
50:17.6,1.42172E+12,AAA, ax,-1.1428734, ay,4.226461, az,9.120534
50:17.6,1.42172E+12,AAA, ax,-1.2446617, ay,4.361031, az,9.045989
50:17.6,1.42172E+12,AAA, ax,-1.1177257, ay,4.2098455, az,9.104068
50:17.7,1.42172E+12,AAA, ax,-1.0440788, ay,4.0059695, az,8.881182
50:17.7,1.42172E+12,AAA, ax,-1.1567944, ay,4.1314087, az,8.870853
50:17.7,1.42172E+12,AAA, ax,-1.3533357, ay,4.289031, az,8.0999565
50:17.7,1.42172E+12,AAA, ax,-1.5667919, ay,4.6710367, az,8.968749
50:17.7,1.42172E+12,AAA, ax,-1.3120216, ay,3.8416114, az,9.350904
50:17.8,1.42172E+12,AAA, ax,-1.4669495, ay,4.358337, az,8.804241
50:17.8,1.42172E+12,AAA, ax,-1.7173787, ay,4.610263, az,9.155262
50:17.8,1.42172E+12,AAA, ax,-1.3458513, ay,4.5021877, az,9.188792
50:17.9,1.42172E+12,AAA, ax,-1.2981006, ay,4.5755353, az,8.908724
50:17.9,1.42172E+12,AAA, ax,-1.4302757, ay,4.7192364, az,8.625962
50:17.9,1.42172E+12,AAA, ax,-1.4826667, ay,4.674629, az,8.778645
50:17.9,1.42172E+12,AAA, ax,-1.2852273, ay,4.311634, az,9.087303
50:17.9,1.42172E+12,AAA, ax,-1.3847704, ay,4.2492137, az,9.092542
50:17.9,1.42172E+12,AAA, ax,-1.3108242, ay,4.2584944, az,9.042696
50:17.9,1.42172E+12,AAA, ax,-1.2816348, ay,4.3358836, az,8.982222
50:17.9,1.42172E+12,AAA, ax,-1.1063493, ay,4.3035507, az,8.885074
50:18.0,1.42172E+12,AAA, ax,-1.017584, ay,4.254303, az,8.852591
50:18.0,1.42172E+12,AAA, ax,-1.1323951, ay,4.481381, az,8.895252
50:18.0,1.42172E+12,AAA, ax,-1.0226734, ay,4.375551, az,8.960815
50:18.1,1.42172E+12,AAA, ax,-1.0867401, ay,4.282744, az,8.911269
50:18.1,1.42172E+12,AAA, ax,-1.1466156, ay,4.261488, az,9.094937
50:18.1,1.42172E+12,AAA, ax,-1.13973, ay,4.4129734, az,9.236543
50:18.1,1.42172E+12,AAA, ax,-1.0184821, ay,4.1541615, az,9.186696
50:18.1,1.42172E+12,AAA, ax,-1.0615925, ay,4.1191344, az,9.012758
50:18.1,1.42172E+12,AAA, ax,-1.1433225, ay,4.153862, az,8.852591
50:18.1,1.42172E+12,AAA, ax,-1.0193802, ay,4.0853047, az,8.972192
50:18.2,1.42172E+12,AAA, ax,-0.8833131, ay,4.1638913, az,9.079968
50:18.2,1.42172E+12,AAA, ax,-0.84604067, ay,4.0203395, az,9.070987
50:18.2,1.42172E+12,AAA, ax,-0.68497556, ay,3.9742355, az,8.893007
50:18.2,1.42172E+12,AAA, ax,-0.78242296, ay,4.03456, az,8.967552
50:18.2,1.42172E+12,AAA, ax,-0.98450273, ay,4.0031257, az,9.317524
50:18.3,1.42172E+12,AAA, ax,-0.9491762, ay,3.7968545, az,9.402099
50:18.3,1.42172E+12,AAA, ax,-0.8955876, ay,3.8510418, az,9.149873
50:18.3,1.42172E+12,AAA, ax,-0.77987826, ay,3.929778, az,9.070238
50:18.3,1.42172E+12,AAA, ax,-0.9171428, ay,4.0248303, az,9.049881
50:18.3,1.42172E+12,AAA, ax,-0.7782317, ay,3.9992335, az,8.900192
50:18.4,1.42172E+12,AAA, ax,-0.84888476, ay,4.0266266, az,8.92998
50:18.4,1.42172E+12,AAA, ax,-0.95875627, ay,4.1155415, az,9.018596
50:18.4,1.42172E+12,AAA, ax,-0.9292676, ay,4.142935, az,8.990753
50:18.4,1.42172E+12,AAA, ax,-1.0487192, ay,4.059558, az,9.123528
50:18.4,1.42172E+12,AAA, ax,-1.2198133, ay,4.3257046, az,9.191936
50:18.5,1.42172E+12,AAA, ax,-1.3021421, ay,4.291725, az,9.121133
50:18.5,1.42172E+12,AAA, ax,-1.3629158, ay,4.1685314, az,9.127569
50:18.5,1.42172E+12,AAA, ax,-1.0999128, ay,4.1848474, az,9.036259
50:18.5,1.42172E+12,AAA, ax,-1.027613, ay,4.374503, az,8.866512
