time,time_milisec,ax,ay,az,resultant
12:06.1,1.4211E+12,-1.4123131,2.5436604,9.012459,9.470441054
12:06.1,1.4211E+12,-1.3600717,2.5026457,9.489367,9.907629211
12:06.1,1.4211E+12,-1.2798386,2.4544458,9.813593,10.19651404
12:06.1,1.4211E+12,-1.2051439,2.3998096,9.713151,10.07753741
12:06.2,1.4211E+12,-1.0892848,2.6954448,9.75746,10.181355
12:06.2,1.4211E+12,-0.9145981,2.6265879,9.537267,9.934531469
12:06.2,1.4211E+12,-0.97058165,2.5849745,9.65642,10.04343413
12:06.2,1.4211E+12,-0.8250842,2.7186465,9.725426,10.13191559
12:06.2,1.4211E+12,-0.8625064,2.5658143,9.562864,9.938595886
12:06.3,1.4211E+12,-0.8866063,2.66401,9.684411,10.08319574
12:06.3,1.4211E+12,-0.6954538,2.667902,9.806856,10.18703989
12:06.3,1.4211E+12,-0.8092172,2.6249413,9.753867,10.13326555
12:06.3,1.4211E+12,-0.8770262,2.6120682,9.621392,10.00815963
12:06.3,1.4211E+12,-1.0172845,2.602039,9.848919,10.23751338
12:06.4,1.4211E+12,-1.0047107,2.5801845,9.9468155,10.32501498
12:06.4,1.4211E+12,-0.9970766,2.3614893,9.987531,10.31123508
12:06.4,1.4211E+12,-1.1231145,2.4339385,9.652977,10.01825373
12:06.4,1.4211E+12,-1.1118878,2.7162516,9.484128,9.927890066
12:06.4,1.4211E+12,-0.945434,2.6923013,9.565109,9.981665288
12:06.5,1.4211E+12,-0.6990463,2.6393116,9.481133,9.866433723
12:06.5,1.4211E+12,-0.8367599,2.6830206,9.563164,9.967591101
12:06.5,1.4211E+12,-0.99977094,2.6512866,9.340426,9.760759214
12:06.5,1.4211E+12,-1.0590477,2.8238778,9.585018,10.04830523
12:06.5,1.4211E+12,-0.82972455,2.667453,9.746831,10.13925357
12:06.6,1.4211E+12,-0.7818242,2.6363177,9.579779,9.96662359
12:06.6,1.4211E+12,-0.6629713,2.5647666,9.482481,9.845557606
12:06.6,1.4211E+12,-0.7604187,2.8042686,9.356893,9.797632653
12:06.6,1.4211E+12,-0.89004916,2.851121,9.282198,9.750911659
12:06.6,1.4211E+12,-0.77419007,2.770439,9.5455,9.969517178
12:06.7,1.4211E+12,-0.6951544,2.6792784,9.601483,9.992509604
12:06.7,1.4211E+12,-0.63632673,2.775229,9.645941,10.05738462
12:06.7,1.4211E+12,-0.54726195,2.7038274,9.553134,9.943467578
12:06.7,1.4211E+12,-0.5053491,2.7072701,9.405392,9.800310596
12:06.7,1.4211E+12,-0.66401917,2.6589208,9.643396,10.02526148
12:06.8,1.4211E+12,-0.74095917,2.5661137,9.735006,10.09476606
12:06.8,1.4211E+12,-0.34608033,2.258204,9.923614,10.18319065
12:06.8,1.4211E+12,-0.6908134,2.7288253,9.528735,9.935819109
12:06.8,1.4211E+12,-0.67674273,2.4629781,9.686058,10.01718331
12:06.8,1.4211E+12,-0.58558226,2.4071443,9.654473,9.967251335
12:06.9,1.4211E+12,-0.62450135,2.311643,9.774973,10.06398492
12:06.9,1.4211E+12,-0.75338334,2.2960753,9.738749,10.03408094
12:06.9,1.4211E+12,-0.8741821,2.2493725,9.594448,9.893295882
12:06.9,1.4211E+12,-0.8421487,2.4466622,9.640852,9.982053779
12:06.9,1.4211E+12,-0.76161623,2.4291487,9.663305,9.993011869
12:07.0,1.4211E+12,-0.7934999,2.3016138,9.759705,10.05877278
12:07.0,1.4211E+12,-0.9011261,2.16884,9.795181,10.07280825
12:07.0,1.4211E+12,-0.7417076,2.0270846,9.707463,9.944548257
12:07.0,1.4211E+12,-0.895887,2.1634512,9.731114,10.00888177
12:07.0,1.4211E+12,-0.88735473,2.386637,9.78605,10.11188455
12:07.1,1.4211E+12,-0.8018825,2.2065613,9.802964,10.08018013
12:07.1,1.4211E+12,-0.9473799,2.2137465,9.739646,10.03289123
12:07.1,1.4211E+12,-0.87088895,2.3514602,9.746981,10.06436542
12:07.1,1.4211E+12,-0.7867639,2.227368,9.784103,10.06522912
12:07.1,1.4211E+12,-0.83406556,2.433789,9.628278,9.966079043
12:07.2,1.4211E+12,-0.84843564,2.1472847,9.653425,9.925688331
12:07.2,1.4211E+12,-0.7518864,2.177971,9.860894,10.12650588
12:07.2,1.4211E+12,-1.0208771,2.3079007,9.843081,10.16143884
12:07.2,1.4211E+12,-0.9104068,2.3207738,10.000704,10.3067411
12:07.2,1.4211E+12,-0.9190887,2.3378384,10.030043,10.33982471
12:07.3,1.4211E+12,-0.8321196,2.0624113,9.904753,10.15135929
12:07.3,1.4211E+12,-0.83182025,2.1689897,9.798624,10.07022708
12:07.3,1.4211E+12,-0.8903485,2.1002824,9.69429,9.959074516
12:07.3,1.4211E+12,-0.757874,2.2517674,9.76689,10.05171476
12:07.3,1.4211E+12,-0.79230237,2.1652474,9.604029,9.8769131
12:07.4,1.4211E+12,-0.7705975,2.2611978,9.628877,9.920791716
12:07.4,1.4211E+12,-0.9226813,2.3161335,9.55014,9.87020715
12:07.4,1.4211E+12,-0.9009764,2.257755,9.841135,10.13692035
12:07.4,1.4211E+12,-0.8399034,2.2978716,9.685908,9.990118387
12:07.4,1.4211E+12,-0.9985735,2.3945704,9.792486,10.13034543
12:07.5,1.4211E+12,-0.91235274,2.3237677,9.458082,9.782003832
12:07.5,1.4211E+12,-1.0062076,2.2269192,9.569001,9.876102622
12:07.5,1.4211E+12,-0.88466036,2.2632935,9.626781,9.928747849
12:07.5,1.4211E+12,-0.99737597,2.2614973,9.703721,10.01355732
12:07.5,1.4211E+12,-0.9542656,2.22647,9.834699,10.12862754
12:07.6,1.4211E+12,-0.98195803,2.3227198,9.742191,10.06327751
12:07.6,1.4211E+12,-0.8518785,2.2041664,9.798325,10.07924696
12:07.6,1.4211E+12,-0.9868977,2.230811,9.760753,10.06095343
12:07.6,1.4211E+12,-0.9559122,2.3215225,9.764495,10.08209291
12:07.6,1.4211E+12,-0.8149054,2.2725742,9.554631,9.854929622
12:07.7,1.4211E+12,-0.8946895,2.3170316,9.486672,9.806429033
12:07.7,1.4211E+12,-0.81161225,2.289489,9.592503,9.895281104
12:07.7,1.4211E+12,-0.8960367,2.4122338,9.6372595,9.974894703
12:07.7,1.4211E+12,-0.9277707,2.3195765,9.668394,9.985941926
12:07.8,1.4211E+12,-0.929567,2.2261705,9.682316,9.978335183
12:07.8,1.4211E+12,-0.9321117,2.377955,9.594598,9.928736727
12:07.8,1.4211E+12,-0.8779243,2.1757255,9.678274,9.958590269
12:07.8,1.4211E+12,-0.92178315,2.3851402,9.781709,10.11041092
12:07.8,1.4211E+12,-0.93196195,2.3026617,9.734108,10.04607697
12:07.8,1.4211E+12,-0.97746736,2.4008574,9.719289,10.05903263
12:07.9,1.4211E+12,-1.0313553,2.2734723,9.735604,10.0505898
12:07.9,1.4211E+12,-0.9602531,2.2439835,9.76195,10.06246569
12:07.9,1.4211E+12,-0.79679304,2.3887327,9.582623,9.907955724
12:07.9,1.4211E+12,-0.7981403,2.3022125,9.455687,9.764590466
12:07.9,1.4211E+12,-0.7430548,2.1791685,9.7040205,9.973410633
12:08.0,1.4211E+12,-0.8827144,2.2876928,9.792336,10.09468015
12:08.0,1.4211E+12,-0.9425899,2.1302202,9.764944,10.03894642
12:08.0,1.4211E+12,-0.9315129,2.252965,9.738299,10.03882638
12:08.0,1.4211E+12,-0.8150551,2.2269192,9.543405,9.833619015
12:08.0,1.4211E+12,-0.8268805,2.2459295,9.5616665,9.856642275
12:08.1,1.4211E+12,-0.8649014,2.3373895,9.672136,9.988075836
12:08.1,1.4211E+12,-0.85367477,2.292782,9.764345,10.06618315
12:08.1,1.4211E+12,-0.82044387,2.3641837,9.5440035,9.866635471
12:08.1,1.4211E+12,-0.7711963,2.2004242,9.407337,9.691986371
12:08.1,1.4211E+12,-0.74889266,2.3294559,9.461824,9.773091548
12:08.2,1.4211E+12,-0.735271,2.3999593,9.818532,10.13429814
12:08.2,1.4211E+12,-0.78152484,1.9607725,10.316996,10.53070825
12:08.2,1.4211E+12,-0.8399034,2.0968397,10.363849,10.60714573
12:08.2,1.4211E+12,-0.9846524,2.0987856,10.087822,10.35077746
12:08.2,1.4211E+12,-0.94932586,2.251468,9.704619,10.00749508
12:08.3,1.4211E+12,-1.0590477,2.1463866,9.537416,9.833151144
12:08.3,1.4211E+12,-1.0689272,2.202819,9.830657,10.13098386
12:08.3,1.4211E+12,-0.9327104,2.5682094,9.886491,10.25711229
12:08.3,1.4211E+12,-0.97716796,2.41403,10.206526,10.53354504
12:08.3,1.4211E+12,-1.3721966,2.0540285,10.162517,10.45842762
12:08.4,1.4211E+12,-1.0907817,2.0160077,9.624236,9.893432688
12:08.4,1.4211E+12,-0.9647438,2.3087988,9.380992,9.708980039
12:08.4,1.4211E+12,-1.0246193,2.5399182,9.166339,9.566754927
12:08.4,1.4211E+12,-0.9071137,2.6918523,9.392219,9.812374932
