time,time_milisec,ax,ay,az,resultant
55:13.3,1.42136E+12,-1.0041119,3.0422735,9.456285,9.984237315
55:13.4,1.42136E+12,-1.1198213,3.1504984,9.620344,10.18482492
55:13.4,1.42136E+12,-1.0807526,3.137775,9.472003,10.03655812
55:13.4,1.42136E+12,-0.99453187,3.1708562,9.321416,9.896070883
55:13.4,1.42136E+12,-0.9821077,3.1900163,9.44416,10.01663105
55:13.4,1.42136E+12,-1.0009685,3.233426,9.417366,10.00718562
55:13.5,1.42136E+12,-1.0674303,3.1190639,9.474847,10.03198349
55:13.5,1.42136E+12,-1.090632,3.2217503,9.433533,10.02799571
55:13.5,1.42136E+12,-0.9979747,3.2317796,9.385034,9.975931839
55:13.5,1.42136E+12,-1.1204201,3.1073883,9.4419155,10.00304811
55:13.5,1.42136E+12,-1.0238708,3.239713,9.306597,9.90741134
55:13.6,1.42136E+12,-1.0849439,3.1817834,9.406439,9.989091227
55:13.6,1.42136E+12,-1.0895842,3.1498997,9.33429,9.911510059
55:13.6,1.42136E+12,-1.1341914,3.0808933,9.428892,9.984102263
55:13.6,1.42136E+12,-1.0341994,3.129991,9.323512,9.889099457
55:13.6,1.42136E+12,-1.0529104,3.157534,9.43009,10.00026193
55:13.7,1.42136E+12,-1.108894,3.1796877,9.34357,9.93188603
55:13.7,1.42136E+12,-1.054108,3.148403,9.477691,10.04242062
55:13.7,1.42136E+12,-0.977617,3.170407,9.414073,9.981582339
55:13.7,1.42136E+12,-1.0133927,3.233426,9.374556,9.968164759
55:13.7,1.42136E+12,-1.1424243,3.1557376,9.30061,9.887626583
55:13.8,1.42136E+12,-1.1421249,3.1629226,9.356593,9.942553054
55:13.8,1.42136E+12,-1.1874806,3.1178663,9.389674,9.964796951
55:13.8,1.42136E+12,-1.0677296,3.2879128,9.473351,10.08438378
55:13.8,1.42136E+12,-1.1091934,3.3293765,9.388177,10.02262068
55:13.9,1.42136E+12,-1.1410772,3.1883698,9.420061,10.01026016
55:13.9,1.42136E+12,-1.0888357,3.1409185,9.48817,10.05367108
55:13.9,1.42136E+12,-0.96145064,3.134482,9.473051,10.0243733
55:13.9,1.42136E+12,-1.0147399,3.0277538,9.402397,9.929856972
55:13.9,1.42136E+12,-0.96040285,3.1398706,9.3244095,9.885634706
55:13.9,1.42136E+12,-0.97372514,3.0213172,9.286388,9.813944179
55:14.0,1.42136E+12,-0.9982741,3.0542486,9.322464,9.860695752
55:14.0,1.42136E+12,-1.1467652,3.1735506,9.182654,9.783027564
55:14.0,1.42136E+12,-1.0535092,3.035837,9.283245,9.823686969
55:14.0,1.42136E+12,-1.1611354,3.1262488,9.194929,9.781021741
55:14.1,1.42136E+12,-1.2763957,3.098856,9.341774,9.924758736
55:14.1,1.42136E+12,-1.2677138,3.2103739,9.48323,10.09184077
55:14.1,1.42136E+12,-1.4976356,3.27489,9.427096,10.09147937
55:14.1,1.42136E+12,-1.5736775,3.3467405,9.528136,10.22069022
55:14.1,1.42136E+12,-1.7308507,3.4655933,9.574241,10.32822694
55:14.1,1.42136E+12,-1.746568,3.5193315,9.3771,10.16691686
55:14.2,1.42136E+12,-1.832639,3.4428406,9.288035,10.07369402
55:14.2,1.42136E+12,-1.6851956,3.4838552,9.22337,10.00238399
55:14.2,1.42136E+12,-1.8182689,3.629652,9.15571,10.01536325
55:14.2,1.42136E+12,-1.7542021,3.800896,9.211544,10.11813117
55:14.2,1.42136E+12,-1.7443227,3.853287,9.169931,10.09842151
55:14.3,1.42136E+12,-1.9568807,3.753295,9.141191,10.07362786
55:14.3,1.42136E+12,-1.8968555,3.7356317,9.04524,9.968418713
55:14.3,1.42136E+12,-1.7521064,3.742218,9.024733,9.925718015
