46:18.5,1.42111E+12,GGG,gx,0.003197391, gy,0.005328985, gz,-0.004263721
46:18.6,1.42111E+12,GGG,gx,0.023448335, gy,0.004263188, gz,-0.013856427
46:18.6,1.42111E+12,GGG,gx,0.026645726, gy,0.007460579, gz,-0.011724833
46:18.6,1.42111E+12,GGG,gx,0.020250943, gy,0.008526376, gz,-0.005329518
46:18.6,1.42111E+12,GGG,gx,0.023448335, gy,0.014921425, gz,-0.010659036
46:18.6,1.42111E+12,GGG,gx,0.044765607, gy,0.029843649, gz,-0.028778385
46:18.7,1.42111E+12,GGG,gx,0.059687298, gy,0.054358315, gz,-0.049029328
46:18.7,1.42111E+12,GGG,gx,0.06608235, gy,0.07887244, gz,-0.053292517
46:18.7,1.42111E+12,GGG,gx,0.05116039, gy,0.06288496, gz,-0.05222672
46:18.7,1.42111E+12,GGG,gx,0.035172634, gy,0.031975243, gz,-0.069280535
46:18.7,1.42111E+12,GGG,gx,0.04369928, gy,0.028777853, gz,-0.10978296
46:18.8,1.42111E+12,GGG,gx,0.056489907, gy,0.058621503, gz,-0.13749501
46:18.8,1.42111E+12,GGG,gx,0.046897203, gy,0.059687298, gz,-0.105519235
46:18.8,1.42111E+12,GGG,gx,0.06821394, gy,0.05116039, gz,-0.0724782
46:18.8,1.42111E+12,GGG,gx,0.14602113, gy,0.09912392, gz,-0.09699259
46:18.9,1.42111E+12,GGG,gx,0.16307494, gy,0.12683597, gz,-0.13429762
46:18.9,1.42111E+12,GGG,gx,0.07993824, gy,0.05542411, gz,-0.1406924
46:18.9,1.42111E+12,GGG,gx,0.006394783, gy,-0.031975776, gz,-0.11511194
46:18.9,1.42111E+12,GGG,gx,0.014921425, gy,-0.04796353, gz,-0.094861
46:18.9,1.42111E+12,GGG,gx,0.10978243, gy,0.03304104, gz,-0.07780718
46:18.9,1.42111E+12,GGG,gx,0.22276224, gy,0.14069188, gz,-0.061819427
46:19.0,1.42111E+12,GGG,gx,0.24834271, gy,0.16200915, gz,-0.07034633
46:19.0,1.42111E+12,GGG,gx,0.14602113, gy,0.04263348, gz,-0.08633409
